City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,ha giang,22.8333,104.9833,63.45,94,100,1.14,VN,1699924279
316,paramonga,-10.6667,-77.8333,67.59,86,54,8.99,PE,1699924280
317,ulladulla,-35.35,150.4667,84.78,67,88,9.91,AU,1699924280
318,riyadh,24.6877,46.7219,71.74,47,83,7.92,SA,1699924280
319,iskateley,67.6803,53.1512,12.02,88,100,8.99,RU,1699924224
320,vila franca do campo,37.7167,-25.4333,63.01,99,67,4.14,PT,1699924280
321,tughyl,47.7252,84.2063,36.57,82,94,11.43,KZ,1699924281
322,port douglas,-16.4833,145.4667,78.76,61,58,9.93,AU,1699924281
323,zarate,-34.0981,-59.0286,58.91,10,2,4.97,AR,1699924282
324,nar'yan-mar,67.6713,53.087,12.11,88,100,8.99,RU,1699924246
325,westport,41.1415,-73.3579,44.8,73,12,1.01,US,1699924282
326,pangody,65.85,74.4859,-1.82,100,100,6.44,RU,1699924282
327,guelmim,28.987,-10.0574,71.94,26,0,12.66,MA,1699924283
328,sestri levante,44.2732,9.3968,63.05,87,100,5.48,IT,1699924283
329,bikenibeu village,1.3673,173.1241,87.76,74,75,8.05,KI,1699924284
330,alofi,-19.0595,-169.9187,78.69,83,100,13.8,NU,1699924284
331,kalemie,-5.9475,29.1947,69.44,92,92,1.36,CD,1699924284
332,soio,-6.1349,12.3689,78.62,90,89,5.14,AO,1699924285
333,miramar beach,30.3744,-86.3586,59.63,83,100,14.9,US,1699924285
334,san antonio de pale,-1.4014,5.6325,79.11,81,31,7.78,GQ,1699924026
335,bei'an,24.5399,109.533,51.37,79,100,5.79,CN,1699924285
336,lazaro cardenas,17.9583,-102.2,81.48,78,97,6.85,MX,1699924132
337,enoch,37.7733,-113.0244,54.48,37,0,5.75,US,1699924286
338,east london,-33.0153,27.9116,60.69,73,99,6.38,ZA,1699924028
339,mogocha,53.7333,119.7667,15.17,65,1,2.21,RU,1699924148
340,tura,25.5198,90.2201,65.86,84,6,3.22,IN,1699924287
341,paracuru,-3.41,-39.0306,82.11,78,98,10.45,BR,1699924287
